id,name,town,latitude,longitude,blendPrice,dieselPrice,logoAsset,stationIcon
1,Camel Oil,"Dar es salaam, Mikocheni",-6.7609573,39.2524378,1.25,1.15,"assets/Logo/pumaBR.png","https://fonts.gstatic.com/s/i/materialicons/local_gas_station/v12/24px.svg"
2,Puma Mwenge,"Dar es salaam, Mikocheni",-6.7644444,39.2286111,1.30,1.20,"assets/Logo/pumaBR.png","https://fonts.gstatic.com/s/i/materialicons/local_gas_station/v12/24px.svg"
3,TSN Petrol Station,"Dar es salaam, Mikocheni",-6.7705254,39.2369824,1.22,1.12,"assets/Logo/pumaBR.png","https://fonts.gstatic.com/s/i/materialicons/local_gas_station/v12/24px.svg"
4,Engen,"Dar es salaam, Mikocheni",-6.7656901,39.259315,1.28,1.18,"assets/Logo/pumaBR.png","https://fonts.gstatic.com/s/i/materialicons/local_gas_station/v12/24px.svg"
5,Oilcom Sayansi,"Dar es salaam, Mikocheni",-6.7744021,39.2428471,1.26,1.16,"assets/Logo/pumaBR.png","https://fonts.gstatic.com/s/i/materialicons/local_gas_station/v12/24px.svg"
6,Oryx Petrol Station, Mwenge,"Dar es salaam, Mikocheni",-6.7672722,39.2276844,1.24,1.14,"assets/Logo/pumaBR.png","https://fonts.gstatic.com/s/i/materialicons/local_gas_station/v12/24px.svg"
7,Puma Petroleum,"Ardbennie Harare",-17.8419,31.0678,1.24,1.14,"assets/Logo/pumaBR.png","https://fonts.gstatic.com/s/i/materialicons/local_gas_station/v12/24px.svg"
8,Bravo Petroleum Greendale,"Greendale, Harare",-17.8197174,31.120502,1.24,1.14,"assets/Logo/pumaBR.png","https://fonts.gstatic.com/s/i/materialicons/local_gas_station/v12/24px.svg"
9,PetromocExor Head Office,"Harare",-17.8319497,31.1098331,1.24,1.14,"assets/Logo/pumaBR.png","https://fonts.gstatic.com/s/i/materialicons/local_gas_station/v12/24px.svg"
10,ZUVA Greendale,"Greendale, Harare",-17.8060346,31.1235698,1.24,1.14,"assets/Logo/pumaBR.png","https://fonts.gstatic.com/s/i/materialicons/local_gas_station/v12/24px.svg"
11,Highland Park,"Harare",-17.7970399,31.0993039,1.24,1.14,"assets/Logo/pumaBR.png","https://fonts.gstatic.com/s/i/materialicons/local_gas_station/v12/24px.svg"
12,TotalEnergies Service Station Coropark (Pvt) Ltd,"Harare",-17.836226,31.1048895,1.24,1.14,"assets/Logo/pumaBR.png","https://fonts.gstatic.com/s/i/materialicons/local_gas_station/v12/24px.svg"
13,Rk,"Harare",-17.8419302,31.1155868,1.24,1.14,"assets/Logo/pumaBR.png","https://fonts.gstatic.com/s/i/materialicons/local_gas_station/v12/24px.svg"
14,Puma,"Harare",-17.8180256,31.0479012,1.51,1.56,"assets/Logo/pumaBR.png","https://fonts.gstatic.com/s/i/materialicons/local_gas_station/v12/24px.svg"
15,Energy Park,"Harare",-17.8181667,31.0374317,1.49,1.50,"assets/Logo/pumaBR.png","https://fonts.gstatic.com/s/i/materialicons/local_gas_station/v12/24px.svg"
16,ZUVA Samora,"Harare",-17.8250361,31.0539626,1.53,1.52,"assets/Logo/pumaBR.png","https://fonts.gstatic.com/s/i/materialicons/local_gas_station/v12/24px.svg"
17,TotalEnergies Service Station Samora 2,"Harare",-17.8248406,31.0554816,1.53,1.58,"assets/Logo/pumaBR.png","https://fonts.gstatic.com/s/i/materialicons/local_gas_station/v12/24px.svg"
18,Redan,"Harare",-17.8244877,31.0588589,1.53,1.58,"assets/Logo/pumaBR.png","https://fonts.gstatic.com/s/i/materialicons/local_gas_station/v12/24px.svg"
19,Zuva,"Harare",-17.8208389,31.0764656,1.53,1.52,"assets/Logo/pumaBR.png","https://fonts.gstatic.com/s/i/materialicons/local_gas_station/v12/24px.svg"
20,Thuli Petroleum,"Harare",-17.8231888,31.0925961,1.49,1.50,"assets/Logo/pumaBR.png","https://fonts.gstatic.com/s/i/materialicons/local_gas_station/v12/24px.svg"
21,ZUVA (PEACOCK) Samora Machel,"Harare",-17.8275529,31.0461189,1.53,1.58,"assets/Logo/pumaBR.png","https://fonts.gstatic.com/s/i/materialicons/local_gas_station/v12/24px.svg"
22,Total Energies,"Harare",-17.8285789,31.0422459,1.53,1.58,"assets/Logo/pumaBR.png","https://fonts.gstatic.com/s/i/materialicons/local_gas_station/v12/24px.svg"
23,Thuli Petroleum,"Harare",-17.8293533,31.0247993,1.48,1.50,"assets/Logo/pumaBR.png","https://fonts.gstatic.com/s/i/materialicons/local_gas_station/v12/24px.svg"
24,Redan,"Harare",-17.8196373,31.0233898,1.53,1.55,"assets/Logo/pumaBR.png","https://fonts.gstatic.com/s/i/materialicons/local_gas_station/v12/24px.svg"
25,Engen,"Harare",-17.8204517,31.0253983,1.53,1.53,"assets/Logo/pumaBR.png","https://fonts.gstatic.com/s/i/materialicons/local_gas_station/v12/24px.svg"
26,Energy Park,"Harare",-17.8285007,31.0271339,1.49,1.50,"assets/Logo/pumaBR.png","https://fonts.gstatic.com/s/i/materialicons/local_gas_station/v12/24px.svg"
27,Elite Petroleum,"Harare",-17.8288536,31.0298176,1.49,1.50,"assets/Logo/pumaBR.png","https://fonts.gstatic.com/s/i/materialicons/local_gas_station/v12/24px.svg"
28,Apex Petroleum,"Harare",-17.8273525,31.0448589,1.50,1.50,"assets/Logo/pumaBR.png","https://fonts.gstatic.com/s/i/materialicons/local_gas_station/v12/24px.svg"
